Caught,IconFile
1,134-vaporeon.svg
0,134-vaporeon-shiny.svg
1,135-jolteon.svg
0,135-jolteon-shiny.svg
1,136-flareon.svg
0,136-flareon-shiny.svg
1,137-porygon.svg
0,137-porygon-shiny.svg
1,138-omanyte.svg
1,138-omanyte-shiny.svg
1,139-omastar.svg
1,139-omastar-shiny.svg
1,140-kabuto.svg
0,140-kabuto-shiny.svg
1,141-kabutops.svg
0,141-kabutops-shiny.svg
1,142-aerodactyl.svg
1,142-aerodactyl-shiny.svg
1,143-snorlax.svg
0,143-snorlax-shiny.svg
1,144-articuno.svg
0,144-articuno-shiny.svg
1,145-zapdos.svg
1,145-zapdos-shiny.svg
1,146-moltres.svg
0,146-moltres-shiny.svg
1,147-dratini.svg
1,147-dratini-shiny.svg
1,148-dragonair.svg
1,148-dragonair-shiny.svg
1,149-dragonite.svg
1,149-dragonite-shiny.svg
1,150-mewtwo.svg
0,150-mewtwo-shiny.svg
1,151-mew.svg
0,151-mew-shiny.svg
1,152-chikorita.svg
1,152-chikorita-shiny.svg
1,153-bayleef.svg
1,153-bayleef-shiny.svg
1,154-meganium.svg
1,154-meganium-shiny.svg
1,155-cyndaquil.svg
1,155-cyndaquil-shiny.svg
1,156-quilava.svg
1,156-quilava-shiny.svg
1,157-typhlosion.svg
1,157-typhlosion-shiny.svg
1,158-totodile.svg
1,158-totodile-shiny.svg
1,159-croconaw.svg
1,159-croconaw-shiny.svg
1,160-feraligatr.svg
1,160-feraligatr-shiny.svg
1,161-sentret.svg
0,161-sentret-shiny.svg
1,162-furret.svg
0,162-furret-shiny.svg
1,163-hoothoot.svg
0,163-hoothoot-shiny.svg
1,164-noctowl.svg
0,164-noctowl-shiny.svg
1,165-ledyba.svg
0,165-ledyba-shiny.svg
1,166-ledian.svg
0,166-ledian-shiny.svg
1,167-spinarak.svg
0,167-spinarak-shiny.svg
1,168-ariados.svg
0,168-ariados-shiny.svg
1,169-crobat.svg
0,169-crobat-shiny.svg
1,170-chinchou.svg
0,170-chinchou-shiny.svg
1,171-lanturn.svg
0,171-lanturn-shiny.svg
1,172-pichu.svg
1,172-pichu-shiny.svg
1,173-cleffa.svg
1,173-cleffa-shiny.svg
1,174-igglybuff.svg
0,174-igglybuff-shiny.svg
1,175-togepi.svg
0,175-togepi-shiny.svg
1,176-togetic.svg
0,176-togetic-shiny.svg
1,177-natu.svg
1,177-natu-shiny.svg
1,178-xatu.svg
1,178-xatu-shiny.svg
1,179-mareep.svg
1,179-mareep-shiny.svg
1,180-flaaffy.svg
1,180-flaaffy-shiny.svg
1,181-ampharos.svg
1,181-ampharos-shiny.svg
1,182-bellossom.svg
0,182-bellossom-shiny.svg
1,183-marill.svg
0,183-marill-shiny.svg
1,184-azumarill.svg
0,184-azumarill-shiny.svg
1,185-sudowoodo.svg
0,185-sudowoodo-shiny.svg
1,186-politoed.svg
0,186-politoed-shiny.svg
1,187-hoppip.svg
0,187-hoppip-shiny.svg
1,188-skiploom.svg
0,188-skiploom-shiny.svg
1,189-jumpluff.svg
0,189-jumpluff-shiny.svg
1,190-aipom.svg
0,190-aipom-shiny.svg
1,191-sunkern.svg
0,191-sunkern-shiny.svg
1,192-sunflora.svg
0,192-sunflora-shiny.svg
1,193-yanma.svg
